kepoi_name,disposition,period,time0bk,duration,depth,ingress,impact,kepid
K00168.03,CONFIRMED,7.106900,138.325400,5.357800,118.000000,0.000000,0.072000,11512246
K00169.01,FALSE POSITIVE,11.702194,151.133400,2.090400,577.000000,0.000000,0.610000,6185711
K00170.01,FALSE POSITIVE,15.608584,144.301100,4.697500,293.000000,0.000000,0.978000,11044770
K00171.01,CONFIRMED,5.968741,137.157400,3.676200,504.000000,0.000000,0.664000,7831264
K00171.02,CONFIRMED,13.071620,144.434700,3.204100,256.000000,0.000000,0.873000,7831264
K00172.01,CONFIRMED,13.722364,137.839500,5.239600,589.000000,0.000000,0.631000,8692861
K00172.02,CONFIRMED,242.467700,150.860000,12.985400,336.000000,0.000000,0.668000,8692861
K00173.01,CANDIDATE,10.060791,138.967700,4.478700,453.000000,0.000000,0.050000,11402995
K00174.01,CANDIDATE,56.353870,144.836800,3.310400,1046.000000,0.000000,0.029300,10810838
K00175.01,FALSE POSITIVE,6.714263,134.314600,2.850200,417.000000,0.000000,0.010000,8323753
K00176.01,CANDIDATE,30.229350,134.517700,6.472100,431.000000,0.000000,0.708000,6442377
K00177.01,CANDIDATE,21.060460,143.604100,5.286400,306.000000,0.000000,0.021500,6803202
K00178.01,FALSE POSITIVE,6.142826,135.162200,4.718000,137.000000,0.000000,0.029000,11455491
K00179.01,CANDIDATE,20.740555,142.791500,10.989100,1102.000000,0.000000,0.749500,9663113
K00179.02,CANDIDATE,572.397900,306.499800,26.648700,1694.000000,0.000000,0.872700,9663113
K00180.01,CANDIDATE,10.045607,129.091240,3.255700,671.000000,0.000000,0.680000,9573539
K00181.01,FALSE POSITIVE,5.093939,139.717080,3.826400,26598.000000,0.000000,0.552000,12504988
K00182.01,FALSE POSITIVE,3.479425,136.796440,3.299200,20537.000000,0.000000,0.470000,5376836
K00183.01,CANDIDATE,2.684329,133.353980,2.674900,18148.000000,0.000000,0.025000,9651668
K00184.01,FALSE POSITIVE,7.300735,133.565780,5.713000,13880.000000,0.000000,0.017000,7972785
K00185.01,FALSE POSITIVE,23.210484,134.386044,2.998100,26809.000000,0.000000,0.853100,4178389
K00186.01,CANDIDATE,3.243260,133.668242,3.032500,16552.000000,0.000000,0.030000,12019440
K00187.01,FALSE POSITIVE,30.882549,151.528580,5.342000,24282.000000,0.000000,0.029000,7023960
K00188.01,CANDIDATE,3.797017,133.508113,2.237800,14553.000000,0.000000,0.010000,5357901
K00189.01,CANDIDATE,30.360447,148.090950,5.932700,21338.000000,0.000000,0.170000,11391018
K00190.01,CANDIDATE,12.264862,139.304090,4.712100,11350.000000,0.000000,0.825900,5771719
K00191.01,CANDIDATE,15.358779,132.384100,4.192100,14611.000000,0.000000,0.595000,5972334
K00191.02,CANDIDATE,2.418398,132.505400,2.072200,664.000000,0.000000,0.556000,5972334
K00191.03,CANDIDATE,0.708598,133.372900,1.453900,194.000000,0.000000,0.479000,5972334
K00191.04,CANDIDATE,38.651540,164.046000,5.330300,659.000000,0.000000,0.520000,5972334
K00192.01,CANDIDATE,10.290999,137.021130,4.266100,9708.000000,0.000000,0.025000,7950644
K00193.01,CANDIDATE,37.590272,157.349720,4.335000,19652.000000,0.000000,0.317000,10799735
K00194.01,FALSE POSITIVE,3.120829,139.465560,2.020900,17254.000000,0.000000,0.780000,10904857
K00195.01,CANDIDATE,3.217520,133.631021,2.116000,14393.000000,0.000000,0.642000,11502867
K00196.01,CONFIRMED,1.855558,137.180265,2.335400,10696.000000,0.000000,0.492000,9410930
K00197.01,CANDIDATE,17.276290,133.838590,3.934700,10470.000000,0.000000,0.010000,2987027
K00198.01,CANDIDATE,87.241243,153.352990,4.372800,18713.000000,0.000000,1.260000,10666242
K00199.01,CANDIDATE,3.268695,137.480969,3.439700,10128.000000,0.000000,0.030000,10019708
K00199.02,FALSE POSITIVE,8.784850,135.349800,4.425800,241.000000,0.000000,0.053000,10019708
K00200.01,CONFIRMED,7.340724,134.344530,2.971100,8314.000000,0.000000,0.531000,6046540
K00201.01,CANDIDATE,4.225385,137.559926,2.811600,7615.000000,0.000000,0.010000,6849046
K00202.01,CONFIRMED,1.720860,133.020401,2.047900,9994.000000,0.000000,0.753000,7877496
K00203.01,CONFIRMED,1.485711,132.792729,2.274600,20649.000000,0.000000,0.018000,10619192
